acc.date,aircraft_type,operator,fatalities,damage,year
2021-04-08,Antonov An-2,Unknown,0,Written Off,2021
2021-04-09,Boeing C-17A Globemaster Iii,United States Air Force - Usaf,0,Substantial,2021
2021-04-14,Cessna 525A Citationjet Cj2+,Private,0,Substantial,2021
2021-04-15,Learjet 35A,Med Air Inc,0,Substantial,2021
2021-04-16,Beechcraft B99 Airliner,Lake Clark Air,0,Substantial,2021
2021-04-18,Learjet 25B,Unknown,0,Substantial,2021
2021-04-20,Learjet 35A,Eletric Power Construção,1,Written Off,2021
2021-04-26,Cessna 208B Grand Caravan Ex,Haugland Group Aviation Llc,0,Substantial,2021
2021-05-01,Cessna 550 Citation Ii,Stb Aviation Llc,0,Substantial,2021
2021-05-05,Gulfstream G150,Tld Aviation I Llc,0,Substantial,2021
2021-05-06,Beechcraft B200Gt King Air 250,Government Of Madhya Pradesh,0,Substantial,2021
2021-05-10,Atr 72-600 (72-212A),Uni Air,0,Substantial,2021
2021-05-12,Boeing 737-8As (Wl),Ryanair,0,None,2021
2021-05-12,Swearingen Sa226-Tc Metro Ii,Key Lime Air,0,Substantial,2021
2021-05-13,Cessna 208B Grand Caravan,Skydive Andes,0,Unknown,2021
2021-05-19,Hawker 800,Private,0,Written Off,2021
2021-05-20,Iai 1125 Astra,Private,0,Substantial,2021
2021-05-21,Boeing 737-7H4,Southwest Airlines,0,Minor,2021
2021-05-21,Antonov An-2R,Utair,0,Substantial,2021
2021-05-21,Beechcraft B300 King Air 350I,Nigerian Air Force - Naf,11,Written Off,2021
2021-05-28,Boeing 767-38E,Asiana Airlines,0,None,2021
2021-05-28,Boeing 737-823 (Wl),American Airlines,0,Substantial,2021
2021-05-29,Cessna 501 Citation I/Sp,Jl&Gl Productions Lp,7,Written Off,2021
2021-05-30,Atr 72-500 (72-212A),Sky Express,0,Substantial,2021
2021-06-02,Beechcraft 1900C,Alpine Air Express,0,Substantial,2021
2021-06-03,Cessna 208B Grand Caravan Ex,Dabi Air Nusantara,0,Written Off,2021
2021-06-04,Honda Ha-420 Hondajet,Gf Aviation Llc,0,Substantial,2021
2021-06-05,Cessna 208B Supervan 900,Paraclub Wiener Neustadt,0,Substantial,2021
2021-06-07,Boeing 737-8Al (Wl),Vistara,0,None,2021
2021-06-10,Beechcraft 1900D,Tatmadaw Lei (Myanmar Air Force),12,Written Off,2021
2021-06-13,Boeing 737-8As (Wl),Ryanair,0,None,2021
2021-06-14,Atr 72-600 (72-212A),Indigo Airlines,0,Substantial,2021
2021-06-16,Let L-410Uvp-E,Kin Avia,3,Written Off,2021
2021-06-18,Boeing 787-8 Dreamliner,British Airways,0,Substantial,2021
2021-06-19,Let L-410Uvp-E,Dosaaf,5,Written Off,2021
